/linux/cbir/model/RSI-CB256/Alexnet_hash_128.caffemodel /home/cad/disk/linux/cbir/feat_extra/class_val_alex_hash.prototxt fc8_hash_encode feat_extra 24747 /home/cad/disk/linux/cbir/feat_extra/rs_simi_alex_hash128.txt GPU 0
E0409 16:17:04.873520  6489 extract_features.cpp:85] Using GPU
E0409 16:23:17.688711  6489 extract_features.cpp:272] finish 11000 images searching
E0409 16:23:19.818996  6489 extract_features.cpp:272] finish 11100 images searching
E0409 16:23:21.969465  6489 extract_features.cpp:272] finish 11200 images searching
E0409 16:23:24.126951  6489 extract_features.cpp:272] finish 11300 images searching
E0409 16:23:26.284657  6489 extract_features.cpp:272] finish 11400 images searching
E0409 16:23:28.441810  6489 extract_features.cpp:272] finish 11500 images searching
E0409 16:23:30.599433  6489 extract_features.cpp:272] finish 11600 images searching
E0409 16:23:32.759440  6489 extract_features.cpp:272] finish 11700 images searching
E0409 16:23:34.929230  6489 extract_features.cpp:272] finish 11800 images searching
E0409 16:23:37.085593  6489 extract_features.cpp:272] finish 11900 images searching
E0409 16:23:39.248211  6489 extract_features.cpp:272] finish 12000 images searching
E0409 16:23:41.409854  6489 extract_features.cpp:272] finish 12100 images searching
E0409 16:23:43.582219  6489 extract_features.cpp:272] finish 12200 images searching
E0409 16:23:45.726518  6489 extract_features.cpp:272] finish 12300 images searching
E0409 16:23:47.870257  6489 extract_features.cpp:272] finish 12400 images searching
E0409 16:23:50.015996  6489 extract_features.cpp:272] finish 12500 images searching
E0409 16:23:52.153415  6489 extract_features.cpp:272] finish 12600 images searching
E0409 16:23:54.287067  6489 extract_features.cpp:272] finish 12700 images searching
E0409 16:23:56.420485  6489 extract_features.cpp:272] finish 12800 images searching
E0409 16:23:58.549572  6489 extract_features.cpp:272] finish 12900 images searching
E0409 16:24:00.680310  6489 extract_features.cpp:272] finish 13000 images searching
E0409 16:24:02.814095  6489 extract_features.cpp:272] finish 13100 images searching
E0409 16:24:04.954608  6489 extract_features.cpp:272] finish 13200 images searching
E0409 16:24:07.084530  6489 extract_features.cpp:272] finish 13300 images searching
E0409 16:24:09.226302  6489 extract_features.cpp:272] finish 13400 images searching
E0409 16:24:11.378722  6489 extract_features.cpp:272] finish 13500 images searching
E0409 16:24:13.531095  6489 extract_features.cpp:272] finish 13600 images searching
E0409 16:24:15.683257  6489 extract_features.cpp:272] finish 13700 images searching
E0409 16:24:17.831589  6489 extract_features.cpp:272] finish 13800 images searching
E0409 16:24:19.974640  6489 extract_features.cpp:272] finish 13900 images searching
E0409 16:24:22.118139  6489 extract_features.cpp:272] finish 14000 images searching
E0409 16:24:24.257931  6489 extract_features.cpp:272] finish 14100 images searching
E0409 16:24:26.389225  6489 extract_features.cpp:272] finish 14200 images searching
E0409 16:24:28.520020  6489 extract_features.cpp:272] finish 14300 images searching
E0409 16:24:30.654448  6489 extract_features.cpp:272] finish 14400 images searching
E0409 16:24:32.786850  6489 extract_features.cpp:272] finish 14500 images searching
E0409 16:24:34.921087  6489 extract_features.cpp:272] finish 14600 images searching
E0409 16:24:37.054733  6489 extract_features.cpp:272] finish 14700 images searching
E0409 16:24:39.188232  6489 extract_features.cpp:272] finish 14800 images searching
E0409 16:24:41.320549  6489 extract_features.cpp:272] finish 14900 images searching
E0409 16:24:43.454663  6489 extract_features.cpp:272] finish 15000 images searching
E0409 16:24:45.586673  6489 extract_features.cpp:272] finish 15100 images searching
E0409 16:24:47.719692  6489 extract_features.cpp:272] finish 15200 images searching
E0409 16:24:49.854838  6489 extract_features.cpp:272] finish 15300 images searching
E0409 16:24:52.001108  6489 extract_features.cpp:272] finish 15400 images searching
E0409 16:24:54.133903  6489 extract_features.cpp:272] finish 15500 images searching
E0409 16:24:56.266350  6489 extract_features.cpp:272] finish 15600 images searching
E0409 16:24:58.402254  6489 extract_features.cpp:272] finish 15700 images searching
E0409 16:25:00.538812  6489 extract_features.cpp:272] finish 15800 images searching
E0409 16:25:02.672955  6489 extract_features.cpp:272] finish 15900 images searching
E0409 16:25:04.802392  6489 extract_features.cpp:272] finish 16000 images searching
E0409 16:25:06.943697  6489 extract_features.cpp:272] finish 16100 images searching
E0409 16:25:09.071092  6489 extract_features.cpp:272] finish 16200 images searching
E0409 16:25:11.205631  6489 extract_features.cpp:272] finish 16300 images searching
E0409 16:25:13.335173  6489 extract_features.cpp:272] finish 16400 images searching
E0409 16:25:15.467139  6489 extract_features.cpp:272] finish 16500 images searching
E0409 16:25:17.600909  6489 extract_features.cpp:272] finish 16600 images searching
E0409 16:25:19.730659  6489 extract_features.cpp:272] finish 16700 images searching
E0409 16:25:21.863000  6489 extract_features.cpp:272] finish 16800 images searching
E0409 16:25:23.993715  6489 extract_features.cpp:272] finish 16900 images searching
E0409 16:25:26.141885  6489 extract_features.cpp:272] finish 17000 images searching
E0409 16:25:28.292809  6489 extract_features.cpp:272] finish 17100 images searching
E0409 16:25:30.448469  6489 extract_features.cpp:272] finish 17200 images searching
E0409 16:25:32.607573  6489 extract_features.cpp:272] finish 17300 images searching
E0409 16:25:34.762296  6489 extract_features.cpp:272] finish 17400 images searching
E0409 16:25:36.919172  6489 extract_features.cpp:272] finish 17500 images searching
E0409 16:25:39.076912  6489 extract_features.cpp:272] finish 17600 images searching
E0409 16:25:41.237938  6489 extract_features.cpp:272] finish 17700 images searching
E0409 16:25:43.405133  6489 extract_features.cpp:272] finish 17800 images searching
E0409 16:25:45.553084  6489 extract_features.cpp:272] finish 17900 images searching
E0409 16:25:47.704928  6489 extract_features.cpp:272] finish 18000 images searching
E0409 16:25:49.850275  6489 extract_features.cpp:272] finish 18100 images searching
E0409 16:25:52.000445  6489 extract_features.cpp:272] finish 18200 images searching
E0409 16:25:54.139626  6489 extract_features.cpp:272] finish 18300 images searching
E0409 16:25:56.283881  6489 extract_features.cpp:272] finish 18400 images searching
E0409 16:25:58.436161  6489 extract_features.cpp:272] finish 18500 images searching
E0409 16:26:00.582665  6489 extract_features.cpp:272] finish 18600 images searching
E0409 16:26:02.729759  6489 extract_features.cpp:272] finish 18700 images searching
E0409 16:26:04.888764  6489 extract_features.cpp:272] finish 18800 images searching
E0409 16:26:07.029157  6489 extract_features.cpp:272] finish 18900 images searching
E0409 16:26:09.165742  6489 extract_features.cpp:272] finish 19000 images searching
E0409 16:26:11.306027  6489 extract_features.cpp:272] finish 19100 images searching
E0409 16:26:13.449209  6489 extract_features.cpp:272] finish 19200 images searching
E0409 16:26:15.578626  6489 extract_features.cpp:272] finish 19300 images searching
E0409 16:26:17.744078  6489 extract_features.cpp:272] finish 19400 images searching
E0409 16:26:19.889029  6489 extract_features.cpp:272] finish 19500 images searching
E0409 16:26:22.034755  6489 extract_features.cpp:272] finish 19600 images searching
E0409 16:26:24.184599  6489 extract_features.cpp:272] finish 19700 images searching
E0409 16:26:26.339532  6489 extract_features.cpp:272] finish 19800 images searching
E0409 16:26:28.506834  6489 extract_features.cpp:272] finish 19900 images searching
E0409 16:26:30.644935  6489 extract_features.cpp:272] finish 20000 images searching
E0409 16:26:32.778615  6489 extract_features.cpp:272] finish 20100 images searching
E0409 16:26:34.919374  6489 extract_features.cpp:272] finish 20200 images searching
E0409 16:26:37.055332  6489 extract_features.cpp:272] finish 20300 images searching
E0409 16:26:39.194377  6489 extract_features.cpp:272] finish 20400 images searching
E0409 16:26:41.336933  6489 extract_features.cpp:272] finish 20500 images searching
E0409 16:26:43.478956  6489 extract_features.cpp:272] finish 20600 images searching
E0409 16:26:45.665976  6489 extract_features.cpp:272] finish 20700 images searching
E0409 16:26:47.845754  6489 extract_features.cpp:272] finish 20800 images searching
E0409 16:26:50.000048  6489 extract_features.cpp:272] finish 20900 images searching
E0409 16:26:52.137507  6489 extract_features.cpp:272] finish 21000 images searching
E0409 16:26:54.276821  6489 extract_features.cpp:272] finish 21100 images searching
E0409 16:26:56.415588  6489 extract_features.cpp:272] finish 21200 images searching
E0409 16:26:58.546030  6489 extract_features.cpp:272] finish 21300 images searching
E0409 16:27:00.686092  6489 extract_features.cpp:272] finish 21400 images searching
E0409 16:27:02.817489  6489 extract_features.cpp:272] finish 21500 images searching
E0409 16:27:04.948429  6489 extract_features.cpp:272] finish 21600 images searching
E0409 16:27:07.091953  6489 extract_features.cpp:272] finish 21700 images searching
E0409 16:27:09.229481  6489 extract_features.cpp:272] finish 21800 images searching
E0409 16:27:11.367136  6489 extract_features.cpp:272] finish 21900 images searching
E0409 16:27:13.518543  6489 extract_features.cpp:272] finish 22000 images searching
E0409 16:27:15.678480  6489 extract_features.cpp:272] finish 22100 images searching
E0409 16:27:17.818007  6489 extract_features.cpp:272] finish 22200 images searching
E0409 16:27:19.951956  6489 extract_features.cpp:272] finish 22300 images searching
E0409 16:27:22.096457  6489 extract_features.cpp:272] finish 22400 images searching
E0409 16:27:24.256431  6489 extract_features.cpp:272] finish 22500 images searching
E0409 16:27:26.395355  6489 extract_features.cpp:272] finish 22600 images searching
E0409 16:27:28.531754  6489 extract_features.cpp:272] finish 22700 images searching
E0409 16:27:30.684233  6489 extract_features.cpp:272] finish 22800 images searching
E0409 16:27:32.862359  6489 extract_features.cpp:272] finish 22900 images searching
E0409 16:27:35.010499  6489 extract_features.cpp:272] finish 23000 images searching
E0409 16:27:37.151078  6489 extract_features.cpp:272] finish 23100 images searching
E0409 16:27:39.285468  6489 extract_features.cpp:272] finish 23200 images searching
E0409 16:27:41.418949  6489 extract_features.cpp:272] finish 23300 images searching
E0409 16:27:43.569761  6489 extract_features.cpp:272] finish 23400 images searching
E0409 16:27:45.720633  6489 extract_features.cpp:272] finish 23500 images searching
E0409 16:27:47.862007  6489 extract_features.cpp:272] finish 23600 images searching
E0409 16:27:50.000705  6489 extract_features.cpp:272] finish 23700 images searching
E0409 16:27:52.164832  6489 extract_features.cpp:272] finish 23800 images searching
E0409 16:27:54.317467  6489 extract_features.cpp:272] finish 23900 images searching
E0409 16:27:56.474246  6489 extract_features.cpp:272] finish 24000 images searching
E0409 16:27:58.614172  6489 extract_features.cpp:272] finish 24100 images searching
E0409 16:28:00.749796  6489 extract_features.cpp:272] finish 24200 images searching
E0409 16:28:02.890066  6489 extract_features.cpp:272] finish 24300 images searching
E0409 16:28:05.028033  6489 extract_features.cpp:272] finish 24400 images searching
E0409 16:28:07.238859  6489 extract_features.cpp:272] finish 24500 images searching
E0409 16:28:09.439832  6489 extract_features.cpp:272] finish 24600 images searching
E0409 16:28:11.570690  6489 extract_features.cpp:272] finish 24700 images searching
E0409 16:28:12.552445  6489 extract_features.cpp:281] Extracted features of 24747 query images for feature blob fc8_hash_encode
E0409 16:28:12.552513  6489 extract_features.cpp:285] Successfully extracted the features!
